Unnamed: 0,Unnamed: 1,Actual Jun 23 vs Budget Jun 23,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,Particulars,Annapurna,,,,,,,,,,Total,,,,,,,Particulars,,Captain Cook,,,
,,Atta,,,,,Salt,,,,,,,,,,,,,,Salt,,,
,INR Cr,"Jun 23
Actual","Jun 23
Budget",Difference,%,,"Jun 23
Actual","Jun 23
Budget",Difference,%,,"Jun 23
Actual","Jun 23
Budget",Difference,%,,,,INR Cr,,"Jun 23
Actual","Jun 23
Budget",Difference,%
,Total Volumes ('000 tn),0.9125700000000001,1.712102308452095,-0.7995323084520949,-0.46698862825256565,,4.9215834,6.13817712906886,-1.21659372906886,-0.19820114400208144,,5.8341534,7.850279437520955,-2.016126037520955,-0.25682220022445834,,,,Total Volumes ('000 tn),,1.496675,0.9396565286183431,0.5570184713816568,0.5927894442458549
,,,,,,,,,,,,,,,,,,,,,,,,
,Total GSV,4.5930024419999995,8.36031250254493,-3.767310060544931,-0.45061833028348386,,5.256544008,6.843549047020151,-1.587005039020151,-0.2318979564720402,,9.849546449999998,15.203861549565081,-5.354315099565083,-0.35216810427468326,,,,Total GSV,,1.69678295,1.1270025699966195,0.5697803800033805,0.5055715001653365
,,,,,,,,,,,,,,,,,,,,,,,,
,Trade Promotions,0.316917168498,0.7290748964147143,-0.41215772791671434,-0.5653160326100019,,0.8883559373519998,1.06599177474851,-0.17763583739651012,-0.16663903193663776,,1.20527310585,1.7950666711632244,-0.5897935653132245,-0.3285635986606733,,,,Trade Promotions,,0.28675631854999994,0.1904634343294287,0.09629288422057125,0.5055715001653361
,% of GSV,0.069,0.08720665599435182,,,,0.16899999999999998,0.15576592896819655,,,,0.12236838639915243,0.11806649681143497,,,,,,% of GSV,,0.16899999999999996,0.16899999999999998,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Realisation (Rs/Kg),50.330412373845284,48.830682963703595,1.4997294101416898,0.030712849362693858,,10.680595208444501,11.149155365052643,-0.46856015660814165,-0.042026516024420764,,16.882563372433776,19.367287076300965,-2.484723703867189,-0.12829487651410165,,,,Realisation (Rs/Kg),,11.33701672039688,11.993771507699172,-0.6567547873022921,-0.05475798725035748
,Total Net Revenue,4.276085273502,7.631237606130216,-3.355152332628216,-0.43966031537702394,,4.368188070647999,5.777557272271641,-1.4093692016236412,-0.24393859467004478,,8.644273344149997,13.408794878401856,-4.764521534251859,-0.35532809454235786,,,,Total Net Revenue,,1.41002663145,0.9365391356671908,0.47348749578280924,0.5055715001653365
,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,3.04456416,5.674913871290858,-2.630349711290858,-0.46350478103248094,,2.4009142564,3.4669227740074917,-1.0660085176074916,-0.3074797412851712,,5.4454784164,9.14183664529835,-3.696358228898349,-0.4043343118364938,,,,COGS,,0.6284804,0.43378234485985384,0.1946980551401462,0.4488381268791591
,% of Net Rev,0.7119979994006488,0.7436426650812403,,,,0.5496361918418582,0.6000672274849392,,,,0.6299521312667908,0.6817791403479154,,,,,,% of Net Rev,,0.4457223615370318,0.4631758869861078,,
,Material Cost,3.04456416,5.674913871290858,-2.630349711290858,-0.46350478103248094,,2.4009142564,3.4669227740074917,-1.0660085176074916,-0.3074797412851712,,5.4454784164,9.14183664529835,-3.696358228898349,-0.4043343118364938,,,,Material Cost,,0.6284804,0.43378234485985384,0.1946980551401462,0.4488381268791591
,,,,,,,,,,,,,,,,,,,,,,,,
,Material Cost (Rs/Kg),33.36252736776357,33.145880612832805,0.21664675493076402,0.006536159273043624,,4.878337033565254,5.648130871931048,-0.7697938383657945,-0.13629178498525274,,9.333793685301453,11.645237240351353,-2.3114435550499,-0.19848831821481727,,,,Material Cost (Rs/Kg),,4.199177510147495,4.616392603557822,-0.41721509341032714,-0.09037686549640131
,Gross profit,1.2315211135019997,1.9563237348393576,-0.724802621337358,-0.37049216774792887,,1.9672738142479993,2.310634498264149,-0.3433606840161496,-0.14860017206273748,,3.198794927749997,4.266958233103507,-1.0681633053535098,-0.2503336679198281,,,,Gross profit,,0.78154623145,0.5027567908073369,0.2787894406426631,0.5545214818381218
,% of Net Revenue,0.28800200059935116,0.25635733491875967,,,,0.4503638081581418,0.39993277251506076,,,,0.37004786873320916,0.3182208596520845,,,,,,% of Net Revenue,,0.5542776384629682,0.5368241130138922,,
,,,,,,,,,,,,,,,,,,,,,,,,
