Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Particulars,Annapurna Salt,CC Salt,Annapurna Atta,Total,,Particulars,Annapurna Salt,CC Salt,Annapurna Atta,Total
,Qty (Tonnes),,,,,,Qty (Tonnes),,,,
,HUL 2022 Avg,5509.641873278237,1377.4104683195592,1129.12779505405,8016.180136651846,,HUL 2022 Avg,27548.20936639118,6887.052341597795,5645.63897527025,40080.90068325923
,2023-07-01 00:00:00,4921.5834,1496.675,912.57,7330.8284,,2023-07-01 00:00:00,22036.0649,5155.375,3750.810063125651,30942.24996312565
,Difference,-588.0584732782363,119.26453168044077,-216.55779505404996,-685.3517366518454,,Difference,-5512.144466391179,-1731.677341597795,-1894.8289121445987,-9138.650720133577
,%,-0.1067326128999999,0.08658605,-0.1917921036065573,-0.08549604986023922,,%,-0.20009084412999983,-0.2514395499999999,-0.3356270070481961,-0.22800512374589824
,,,,,,,,,,,
,GSV (INR Crs),,,,,,GSV (INR Crs),,,,
,HUL 2022 Avg,6,1.5,5.083333333333333,12.583333333333332,,HUL 2022 Avg,30,7.5,25.416666666666664,62.916666666666664
,2023-07-01 00:00:00,5.256544008,1.69678295,4.5930024419999995,11.5463294,,2023-07-01 00:00:00,23.467081917,5.96506775,19.191007098,48.623156765000004
,Difference,-0.7434559920000003,0.19678295,-0.4903308913333335,-1.0370039333333327,,Difference,-6.532918082999998,-1.5349322499999998,-6.225659568666664,-14.29350990166666
,%,-0.12390933200000005,0.13118863333333333,-0.09645853600000004,-0.08241090860927149,,%,-0.21776393609999994,-0.2046576333333333,-0.24494398302950812,-0.22718161433112571
